Estate Name,Street Name,House Type,HLC
Gbara,Masalasi Square,Face-To-Face,20.0
Aro,Aro Road,Face-To-Face,0.67
Peace Land,Peace Land Ogonbo,Flat/Bungalow/Duplex,7.0
Maiyegun,Maiyegun Street,Face-To-Face,1.0
Maiyegun,Maiyegun Street,Face-To-Face,60.0
Ologolo,Tobiloba Lawal Ologolo,Uncompleted,20.0
Ologolo,Lukmon Bankolo Ologolo,Uncompleted,5.0
Aro Town,Aro Street,MakeShift,0.58
Aro Town,Aro Street,MakeShift,1.0
Aro Town,Aro Street,MakeShift,1.0
Aro Town,Aro Street,MakeShift,0.5
Aro Town,Aro Street,MakeShift,30.0
Aro Town,Aro Street,MakeShift,4.0
Aro Town,Aro Street,MakeShift,15.0
Aro Town,Aro Street,MakeShift,1.0
Aro Town,Aro Street,MakeShift,16.0
Aro Town,Close to Deeper Life,MakeShift,10.0
Aro Town,Aro Street,MakeShift,6.0
Aro Town,Aro Street,MakeShift,7.0
Mayegun,Okimilere Street,Face-To-Face,3.0
Maiyegun,Osaiyne,Face-To-Face,5.0
Maiyegun,Osaiyne,Face-To-Face,5.0
Aro,Aro Beach,MakeShift,16.0
Aro,Aro Beach,MakeShift,3.0
Aro,Aro village,MakeShift,0.17
Aro,Aro beach,MakeShift,15.0
Aro  Town,Mattew Osawemen Street,Uncompleted,1.0
Aro Town,Aro Maingate By the Beach,MakeShift,0.0
S.P.G,Ologolo,Face-To-Face,0.33
Mayeigun,Emilere,Face-To-Face,2.0
Mayeigun,Baale Compound,BQ,5.0
Mayegun,Baale Conpound,BQ,8.0
Ologolo road,Awoshika Street,Flat/Bungalow/Duplex,5.0
Maiyegun Road,Oseni Street,Face-To-Face,16.0
Jakende Estate,Block Industry/ White Sands,MakeShift,12.0
Jakende Estate,St Kirito Hospital Rd,Flat/Bungalow/Duplex,5.0
Jakende Estate,St Saint Kirito Hospital,Flat/Bungalow/Duplex,18.0
Jakende by White Sand Rd,Ghana School by White Sand School,Uncompleted,20.0
Jakende Estate,Ghana School Rd by White Sands,Flat/Bungalow/Duplex,7.0
Jakende estate,First Gate,Flat/Bungalow/Duplex,7.0
Jakende Estate,Ghana School White Sand Rd,Flat/Bungalow/Duplex,1.0
Jakande Estate,Along Silverbird Rd Opposite the Beach,Flat/Bungalow/Duplex,3.0
Jakende,Ghana Street or Ghana School Side,MakeShift,23.0
Jakende Estate,Last Quarter odf Jakende behind Quaiboe Church,Face-To-Face,11.0
Jakende Housing Estate,Along Silverbird Rd beside the Beach,Flat/Bungalow/Duplex,3.0
Jakende,Information Centre,MakeShift,30.0
Jakende,Information Centre,MakeShift,10.0
Jakende,Around Police station,BQ,7.0
Jakende Estate,Behind the Police station,Face-To-Face,10.0
Jakende,C.D.A,MakeShift,10.0
Jakende Estate,Jakende street,Face-To-Face,4.0
Jakende,Jakende,Face-To-Face,10.0
Jakende Estate,Jakende,Face-To-Face,5.0
Jakende Housing Estate,Jakende,Face-To-Face,6.0
Jakende,Along police Station road,Face-To-Face,18.0
Jakende Silverbird Rd,By Information Center Jakande First Gate,MakeShift,0.0
ALPHA BEACH,BAALE STREET,Uncompleted,3.0
ARO,ARO COMPOUND,MakeShift,8.0
ARO,ARO COMPOUND,MakeShift,0.08333333333333333
ARO,ARO COMPOUND,MakeShift,4.0
ARO,ARO COMPOUND,MakeShift,3.0
ARO,ARO COMPOUND,MakeShift,1.0
ARO,ARO COMPOUND,MakeShift,2.0
ARO,ARO COMPOUND,MakeShift,4.0
ARO,ARO COMPOUND,MakeShift,3.0
ARO,ARO COMPOUND,MakeShift,1.0
ARO,ARO COMPOUND,MakeShift,2.0
ARO,ARO COMPOUND,MakeShift,6.0
JAKANDE ESTATE,JAKANDE ROUND ABOUT ROAD,Face-To-Face,2.0
JAKANDE ESTATE,"JAND
JAKANDE ROUND ABOUT ROAD",MakeShift,3.0
ARO TOWN,ARO BEACH ROAD,MakeShift,0.0
ARO TOWN,ARO BEACH ROAD,MakeShift,4.0
ARO TOWN,ARO BEACH,MakeShift,10.0
ARO TOWN,ARO BEACH ROAD,MakeShift,2.0
ARO TOWN,ARO MAIN STREET,MakeShift,15.0
ARO,ARO STREET,MakeShift,3.0
ARO ANICENT TOWN,BAALE STREET,MakeShift,1.0
ARO ANCIENT TOWN,BAALE STREET,MakeShift,4.0
JAKANDE,ALONA BLOCK INDUSTRY,Flat/Bungalow/Duplex,9.0
JAKANDE,POLICE STATION ROAD,MakeShift,4.0
JAKANDE,POLICE STATION ROAD,Flat/Bungalow/Duplex,20.0
JAKANDE,POLICE STATION ROAD,Face-To-Face,10.0
JAKANDE,POLICE STATION ROAD,Uncompleted,5.0
JAKANDE,POLICE STATION ROAD,Uncompleted,3.0
JAKANDE,POLICE STATION ROAD,MakeShift,15.0
JAKANDE,POLICE STATION ROAD,MakeShift,20.0
JAKANDE,POLICE STATION ROAD,Face-To-Face,1.0
JAKANDE,POLICE STATION ROAD,Uncompleted,8.0
JAKANDE,MIDDLE BELT,Uncompleted,1.0
JAKANDE,WHITE SAND CAR PARK,MakeShift,2.0
JAKANDE,WHITE SAND CAR PACK,MakeShift,4.0
JAKANDE,INFORMATION CENTRE,Flat/Bungalow/Duplex,3.0
JAKANDE,INFORMATION CENTRE,Flat/Bungalow/Duplex,6.0
JAKANDE,OPPOSITE ILASAN PRY SCHOOL,Flat/Bungalow/Duplex,28.0
JAKANDE,ROAD C,MakeShift,28.0
JAKANDE,OPPOSITE ILASAN PRY SCHOOL,Flat/Bungalow/Duplex,2.0
JAKANDE,INFORMATION CENTRE (OPPOSITE ILASAN PRY SCHOOL),Flat/Bungalow/Duplex,8.0
ALPHA BEACH,BAALE,Face-To-Face,30.0
ALPHA  BEACH,BAALE,MakeShift,15.0
IGBO EFON,MUSHAFAN LASISI,Flat/Bungalow/Duplex,23.0
CHISCO,LEKKI GARDEN,BQ,0.58
JAKANDE,LAST QUAITER,MakeShift,0.5
JAKANDE,SILVERBIRD ROAD,MakeShift,5.0
JAKANDE,LAST TRANSFORMER JAKANDE FIRST GATE,Flat/Bungalow/Duplex,17.0
JAKANDE MARKET,MAYEGUN ARO SIDE,MakeShift,5.0
JAKANDE ROAD,NO4 ILALA YUSUF LEKKI PHASE ONE,Flat/Bungalow/Duplex,3.0
JAKANDE FIRST GATE,BLOCK 99 FLAT 2,Flat/Bungalow/Duplex,5.0
JAKANDE FIRST GATE,BACK OF STATION,Flat/Bungalow/Duplex,17.0
JAKANDE FIRST GATE,SILVER BIRD ROAD,MakeShift,17.0
JAKANDE,ALONG THE MARKET,Flat/Bungalow/Duplex,25.0
JAKANDE,GBARA,Uncompleted,17.0
JAKANDE 2ND GATE /AGUNGI,AJIRON,Flat/Bungalow/Duplex,11.0
JAKANDE,WASHITON,Flat/Bungalow/Duplex,2.0
GBARA,BALOGUN,Face-To-Face,0.33
JAKANDE,JAKANDE MARKET,MakeShift,3.0
JAKANDE,JAKANDE MARKET,MakeShift,2.0
Aro Town,Aro beach road,Uncompleted,1.0
Tobiloba Lawal,Mayegun,Uncompleted,0.83
Tobiloba Lawal,Mayegun,Uncompleted,10.0
Tobiloba Lawal,Mayegun,Uncompleted,10.0
Mayegun Town,Baale,MakeShift,30.0
Mayegun Town,Baale,MakeShift,30.0
Mayegun,Tobiloba Lawal,Face-To-Face,10.0
Mayegun Town,Mayegun,Face-To-Face,4.0
Itedo,Otunba,Face-To-Face,10.0
Alpha Beach,Owode,Others,11.0
Alpha Beach,Owode,MakeShift,10.0
Alpha Beach,Owode,MakeShift,7.0
Alpha Beach,Owode,MakeShift,5.0
Alpha Beach,Owode,MakeShift,4.0
Alpha Beach,Owode,MakeShift,4.0
Alpha Beach,Owode,MakeShift,8.0
Aro Town,Aro Village,Uncompleted,1.0
Jakande,Ilasan,Others,6.0
